Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Samsung,Intel i7,32,1TB SSD,AMD Radeon RX 6800,15.6,2560x1440,11.5,2.32,FreeDOS,2868.04
Lenovo,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,11.4,1.7,Linux,3584.25
HP,Intel i3,64,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,4.9,1.99,Linux,1878.4
Dell,AMD Ryzen 5,32,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.1,3.01,Windows,1834.21
MSI,Intel i3,64,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,8.3,3.47,Linux,3390.88
Acer,AMD Ryzen 5,8,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,6.2,1.68,Linux,1923.02
Samsung,AMD Ryzen 9,32,2TB SSD,Nvidia RTX 3060,14.0,1920x1080,5.4,2.6,macOS,2601.32
Dell,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,7.2,3.32,FreeDOS,2770.48
MSI,Intel i9,16,1TB SSD,Nvidia GTX 1650,13.3,1920x1080,7.5,2.08,macOS,2516.31
Microsoft,Intel i3,8,2TB SSD,Nvidia RTX 2060,15.6,2560x1440,5.0,3.48,macOS,1083.11
Samsung,Intel i9,32,1TB SSD,Integrated,16.0,3840x2160,7.6,1.32,FreeDOS,3323.89
Asus,AMD Ryzen 5,4,512GB SSD,Nvidia GTX 1650,16.0,3840x2160,11.6,3.38,FreeDOS,1759.04
Dell,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3060,13.3,1920x1080,8.0,2.69,macOS,990.18
Apple,Intel i9,32,2TB SSD,Nvidia GTX 1650,17.3,2560x1440,5.7,1.83,Windows,5373.59
Acer,Intel i7,16,256GB SSD,Integrated,16.0,2560x1440,6.6,3.39,Linux,1332.62
Microsoft,AMD Ryzen 3,32,512GB SSD,Nvidia GTX 1650,16.0,1366x768,11.3,1.83,FreeDOS,1161.02
Lenovo,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,10.0,2.07,macOS,2256.02
MSI,Intel i9,16,1TB SSD,Integrated,17.3,3840x2160,10.3,3.16,Windows,3116.24
Acer,AMD Ryzen 9,16,2TB SSD,Integrated,14.0,2560x1440,4.5,2.09,FreeDOS,1748.58
Asus,Intel i5,64,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,10.3,1.4,Windows,2521.5
HP,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 2060,16.0,2560x1440,9.6,3.2,FreeDOS,3493.59
HP,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68
HP,AMD Ryzen 5,64,512GB SSD,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87
Asus,Intel i3,8,256GB SSD,Nvidia GTX 1650,14.0,1366x768,4.8,1.48,macOS,765.95
Asus,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,16.0,1920x1080,7.5,2.53,Windows,3217.82
Lenovo,Intel i3,16,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48
Asus,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,8.2,2.15,FreeDOS,1866.8
Lenovo,Intel i7,4,256GB SSD,Integrated,13.3,3840x2160,7.8,1.23,macOS,1377.57
Asus,AMD Ryzen 7,8,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19
MSI,AMD Ryzen 3,16,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88
Lenovo,Intel i3,64,256GB SSD,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07
Lenovo,Intel i7,4,2TB SSD,Integrated,16.0,3840x2160,6.2,2.52,Windows,1524.94
Acer,AMD Ryzen 3,32,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,6.3,2.12,Windows,1930.67
Asus,AMD Ryzen 7,8,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,7.8,1.67,macOS,1267.84
Apple,Intel i5,64,512GB SSD,Nvidia RTX 3080,14.0,3840x2160,10.9,2.25,Windows,5768.75
Dell,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,4.3,2.5,macOS,951.4
Samsung,AMD Ryzen 5,8,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2
Microsoft,Intel i9,16,512GB SSD,Nvidia GTX 1650,17.3,1920x1080,4.4,1.87,FreeDOS,2113.77
HP,AMD Ryzen 7,4,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.7,1.9,FreeDOS,1310.03
Microsoft,AMD Ryzen 7,32,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45
HP,AMD Ryzen 9,8,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79
Asus,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54
Razer,Intel i9,16,256GB SSD,Integrated,14.0,3840x2160,4.6,2.47,FreeDOS,2996.04
HP,Intel i7,4,1TB HDD,Nvidia GTX 1650,16.0,1366x768,10.1,1.57,Windows,871.35
Acer,Intel i3,64,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,11.2,2.55,Linux,2768.44
Microsoft,Intel i7,32,256GB SSD,AMD Radeon RX 6800,17.3,3840x2160,4.3,1.72,Linux,3745.39
Dell,Intel i9,32,1TB HDD,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24
Asus,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,7.8,3.06,macOS,782.66
Samsung,Intel i3,8,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34
MSI,Intel i3,8,512GB SSD,AMD Radeon RX 6600,13.3,3840x2160,5.9,1.33,macOS,1784.77
Lenovo,Intel i3,4,1TB SSD,Nvidia RTX 3060,16.0,2560x1440,7.2,3.43,macOS,1164.94
Microsoft,Intel i3,8,1TB HDD,Nvidia GTX 1650,14.0,3840x2160,9.6,1.83,Windows,1247.91
Asus,Intel i9,32,512GB SSD,Nvidia RTX 2060,16.0,1366x768,8.3,2.8,Windows,2480.96
Acer,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62
Asus,AMD Ryzen 7,16,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,4.7,1.46,Windows,1947.07
Microsoft,Intel i7,32,2TB SSD,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62
Acer,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 2060,17.3,1366x768,9.9,1.69,Windows,1486.61
Apple,AMD Ryzen 9,4,2TB SSD,Integrated,13.3,2560x1440,11.2,1.61,Windows,1804.49
Lenovo,AMD Ryzen 5,4,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35
Asus,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61
Razer,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14
Dell,AMD Ryzen 5,32,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97
Apple,Intel i9,16,1TB HDD,AMD Radeon RX 6800,16.0,2560x1440,9.4,2.65,FreeDOS,3428.94
Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49
Asus,Intel i5,16,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59
Apple,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,8.6,2.55,macOS,3496.93
Samsung,Intel i3,8,256GB SSD,Nvidia RTX 3080,17.3,1920x1080,10.1,2.45,Linux,972.19
Lenovo,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,14.0,2560x1440,11.5,1.51,macOS,3038.1
Asus,AMD Ryzen 7,64,1TB SSD,Nvidia RTX 3080,17.3,1366x768,7.9,1.77,Windows,2793.54
Asus,Intel i7,64,256GB SSD,Nvidia RTX 3060,15.6,1366x768,10.5,2.43,Windows,2821.78
Apple,Intel i5,32,1TB SSD,Integrated,17.3,1366x768,7.1,1.73,Windows,1548.95
Dell,AMD Ryzen 5,4,1TB SSD,Integrated,15.6,2560x1440,11.8,3.45,FreeDOS,962.25
Razer,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63
Dell,Intel i5,64,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32
MSI,AMD Ryzen 3,16,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,10.8,2.82,Windows,2354.8
Acer,Intel i7,8,256GB SSD,Nvidia RTX 3080,15.6,3840x2160,5.8,1.52,macOS,2358.06
HP,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.7,1.48,Linux,4813.04
MSI,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,10.8,3.22,FreeDOS,2792.77
Microsoft,Intel i3,32,1TB SSD,Nvidia RTX 3060,17.3,3840x2160,4.5,2.95,Linux,2567.52
HP,Intel i3,8,256GB SSD,Nvidia RTX 3060,17.3,1920x1080,5.3,1.97,FreeDOS,914.84
Microsoft,Intel i7,4,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,11.0,2.44,Windows,1602.39
Microsoft,AMD Ryzen 9,64,256GB SSD,Integrated,17.3,1920x1080,9.5,2.99,Linux,2922.91
HP,AMD Ryzen 3,8,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,11.0,2.82,FreeDOS,873.57
MSI,Intel i3,4,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,5.5,1.38,FreeDOS,1119.51
Lenovo,Intel i9,32,256GB SSD,Nvidia GTX 1650,15.6,3840x2160,9.2,1.61,FreeDOS,4857.55
MSI,AMD Ryzen 5,8,1TB HDD,Integrated,16.0,3840x2160,5.8,2.48,macOS,1407.17
Lenovo,Intel i7,4,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96
Asus,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 3060,17.3,3840x2160,9.2,3.3,Linux,1565.19
Lenovo,AMD Ryzen 3,64,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,10.9,1.99,FreeDOS,3422.47
Samsung,AMD Ryzen 3,64,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83
Razer,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,10.5,1.88,FreeDOS,3180.88
Microsoft,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.7,2.82,Linux,1696.83
Asus,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,15.6,3840x2160,10.6,1.81,FreeDOS,2687.06
HP,Intel i3,4,1TB HDD,AMD Radeon RX 6600,14.0,2560x1440,4.9,2.04,macOS,922.21
Razer,Intel i3,32,1TB HDD,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43
Razer,AMD Ryzen 7,64,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77
Asus,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 3080,16.0,3840x2160,4.4,1.75,Windows,2490.41
MSI,Intel i9,64,512GB SSD,Integrated,17.3,2560x1440,4.7,1.38,FreeDOS,4705.97
Lenovo,Intel i7,64,512GB SSD,AMD Radeon RX 6800,16.0,2560x1440,8.0,2.14,macOS,4036.38
MSI,AMD Ryzen 3,4,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77
Samsung,AMD Ryzen 5,8,1TB HDD,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44
HP,Intel i5,32,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,7.4,2.7,Linux,2500.94
Lenovo,Intel i9,32,2TB SSD,Nvidia RTX 2060,15.6,1366x768,10.9,3.17,Windows,2431.14
Asus,Intel i5,4,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,11.5,3.43,macOS,1217.24
MSI,Intel i5,4,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,5.8,2.4,Linux,954.65
HP,AMD Ryzen 5,8,1TB SSD,Nvidia GTX 1650,17.3,1920x1080,5.7,3.07,FreeDOS,1250.43
Acer,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3060,17.3,2560x1440,6.3,1.37,Windows,3401.59
HP,AMD Ryzen 7,64,1TB SSD,Integrated,13.3,1920x1080,4.3,1.31,FreeDOS,2041.37
Lenovo,Intel i9,64,1TB SSD,Nvidia RTX 3080,13.3,2560x1440,10.3,2.99,macOS,4995.89
HP,AMD Ryzen 7,4,1TB HDD,Nvidia GTX 1650,15.6,1366x768,7.1,2.63,macOS,777.38
Acer,Intel i5,8,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,11.7,3.27,Windows,1969.19
Apple,Intel i5,8,256GB SSD,Nvidia RTX 2060,14.0,3840x2160,5.2,2.1,Linux,2607.44
Microsoft,Intel i9,16,1TB HDD,Nvidia RTX 3060,15.6,1920x1080,11.3,1.81,macOS,1776.13
Microsoft,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,11.8,1.28,Linux,2721.4
HP,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,8.9,1.75,Windows,1016.16
Acer,AMD Ryzen 3,4,1TB SSD,Integrated,15.6,1920x1080,7.8,1.66,FreeDOS,590.45
Razer,Intel i9,8,1TB SSD,Nvidia RTX 2060,15.6,1920x1080,8.7,2.78,Linux,2549.6
Asus,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 2060,17.3,1920x1080,11.9,1.63,FreeDOS,1609.14
Acer,AMD Ryzen 7,64,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,6.5,2.09,Linux,5483.75
Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,15.6,1366x768,5.5,1.28,Linux,728.2
Acer,Intel i3,4,1TB SSD,Nvidia GTX 1650,13.3,1366x768,8.9,3.45,Windows,545.58
Apple,Intel i5,16,512GB SSD,Integrated,17.3,1366x768,11.6,2.83,Linux,1092.08
Razer,Intel i3,8,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,11.7,1.76,FreeDOS,1641.64
Razer,Intel i9,16,512GB SSD,Nvidia RTX 3080,17.3,1920x1080,4.5,2.85,FreeDOS,3066.57
Samsung,AMD Ryzen 9,32,512GB SSD,Integrated,15.6,1366x768,6.4,3.01,Linux,1735.86
Asus,AMD Ryzen 9,8,512GB SSD,Nvidia RTX 3080,14.0,3840x2160,8.0,1.77,Windows,2895.86
Samsung,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6600,14.0,3840x2160,4.4,2.52,macOS,2072.73
Dell,AMD Ryzen 7,16,2TB SSD,Nvidia GTX 1650,14.0,1366x768,4.6,3.22,FreeDOS,1178.4
Apple,AMD Ryzen 9,16,1TB SSD,AMD Radeon RX 6600,13.3,3840x2160,11.4,1.79,FreeDOS,4918.11
Microsoft,AMD Ryzen 5,64,512GB SSD,Nvidia GTX 1650,17.3,3840x2160,11.4,2.12,Windows,4348.8
Samsung,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,6.6,2.82,macOS,734.88
Razer,Intel i5,4,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,6.6,2.83,Windows,1369.42
Acer,AMD Ryzen 3,64,1TB SSD,Integrated,15.6,3840x2160,7.6,1.8,FreeDOS,2531.45
Samsung,Intel i7,16,2TB SSD,Nvidia RTX 2060,17.3,2560x1440,10.4,1.42,Windows,2018.16
Acer,Intel i9,32,512GB SSD,Integrated,15.6,1366x768,11.6,2.55,Windows,1633.4
Lenovo,AMD Ryzen 7,4,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,10.4,3.1,Windows,1528.92
Microsoft,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,13.3,3840x2160,7.9,1.85,Windows,3845.91
Apple,AMD Ryzen 5,16,256GB SSD,Nvidia RTX 3080,15.6,1920x1080,9.8,1.45,macOS,1864.34
Apple,AMD Ryzen 3,16,1TB SSD,Integrated,17.3,3840x2160,9.2,1.94,Linux,1828.29
Apple,Intel i3,64,512GB SSD,AMD Radeon RX 6600,14.0,2560x1440,7.0,1.35,FreeDOS,3838.22
Razer,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,5.8,1.86,FreeDOS,2475.0
Microsoft,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 2060,13.3,3840x2160,12.0,2.5,Windows,2631.83
Samsung,Intel i3,4,2TB SSD,Integrated,17.3,1920x1080,11.5,3.29,Windows,462.82
Dell,AMD Ryzen 7,16,2TB SSD,AMD Radeon RX 6600,13.3,1366x768,9.4,2.42,FreeDOS,1381.3
Razer,AMD Ryzen 9,4,512GB SSD,AMD Radeon RX 6600,16.0,1920x1080,6.5,2.32,macOS,2225.01
Acer,Intel i9,64,1TB SSD,Integrated,15.6,1920x1080,8.3,3.06,macOS,2970.68
Asus,AMD Ryzen 3,64,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.1,3.26,FreeDOS,1697.07
Acer,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3060,17.3,1920x1080,7.1,1.41,FreeDOS,1321.09
Dell,AMD Ryzen 9,32,256GB SSD,AMD Radeon RX 6800,16.0,2560x1440,6.8,2.32,Linux,3739.27
Apple,AMD Ryzen 3,4,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,7.9,2.69,FreeDOS,1134.98
Samsung,AMD Ryzen 5,64,2TB SSD,Nvidia GTX 1650,13.3,1366x768,10.9,2.33,Windows,2105.65
HP,AMD Ryzen 9,8,256GB SSD,Nvidia RTX 3060,14.0,1366x768,11.8,3.28,Linux,1434.82
MSI,AMD Ryzen 7,4,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,10.5,1.33,FreeDOS,2551.92
Microsoft,Intel i5,32,1TB HDD,AMD Radeon RX 6800,16.0,1366x768,4.3,2.42,Windows,1118.11
Samsung,AMD Ryzen 9,16,2TB SSD,AMD Radeon RX 6600,16.0,3840x2160,6.3,1.56,Linux,3729.28
Microsoft,Intel i3,8,1TB HDD,Nvidia GTX 1650,14.0,2560x1440,10.4,3.06,Linux,1001.65
Asus,Intel i7,16,2TB SSD,Nvidia GTX 1650,14.0,3840x2160,4.1,2.59,Windows,2352.27
HP,AMD Ryzen 3,64,1TB SSD,Nvidia RTX 2060,15.6,1920x1080,6.7,1.24,FreeDOS,2144.65
Dell,AMD Ryzen 9,4,1TB HDD,Nvidia GTX 1650,14.0,2560x1440,6.0,2.56,Linux,1443.2
Acer,AMD Ryzen 3,8,1TB HDD,Integrated,17.3,1920x1080,4.4,3.49,FreeDOS,554.72
Apple,Intel i5,8,512GB SSD,Integrated,13.3,1920x1080,5.7,1.24,macOS,1087.07
Samsung,Intel i7,16,256GB SSD,Nvidia RTX 3080,14.0,1920x1080,11.5,3.3,FreeDOS,1619.29
Apple,Intel i5,64,512GB SSD,AMD Radeon RX 6600,17.3,1920x1080,9.4,2.82,FreeDOS,3998.58
Apple,Intel i3,64,1TB HDD,Integrated,15.6,1366x768,6.8,1.79,Windows,1468.97
Samsung,AMD Ryzen 5,16,1TB HDD,Nvidia RTX 3080,17.3,1366x768,7.9,2.07,macOS,908.56
HP,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,4.2,2.36,FreeDOS,3667.64
Samsung,AMD Ryzen 3,16,256GB SSD,AMD Radeon RX 6600,15.6,2560x1440,4.9,2.5,Linux,1314.19
Asus,AMD Ryzen 9,32,1TB SSD,AMD Radeon RX 6600,13.3,1366x768,9.6,3.17,FreeDOS,2194.29
Lenovo,AMD Ryzen 3,4,1TB SSD,Nvidia RTX 2060,17.3,1920x1080,6.7,1.28,Linux,900.51
Dell,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3060,13.3,3840x2160,5.5,1.54,FreeDOS,1734.63
Samsung,Intel i7,16,512GB SSD,AMD Radeon RX 6600,13.3,3840x2160,9.5,2.62,Windows,2617.78
Razer,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3080,13.3,3840x2160,11.6,1.82,macOS,2088.13
Razer,Intel i7,64,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,6.2,2.21,FreeDOS,5519.35
Dell,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3080,15.6,2560x1440,7.8,2.22,Linux,1683.6
Microsoft,AMD Ryzen 7,4,1TB SSD,AMD Radeon RX 6800,13.3,1920x1080,11.8,1.68,Windows,1131.03
MSI,Intel i7,4,256GB SSD,Integrated,14.0,1920x1080,7.2,2.87,Windows,908.17
Dell,AMD Ryzen 3,16,512GB SSD,Nvidia RTX 2060,17.3,3840x2160,7.5,3.33,Windows,1879.12
HP,Intel i7,64,512GB SSD,Integrated,15.6,1920x1080,5.0,2.8,Linux,2246.54
HP,AMD Ryzen 9,64,2TB SSD,AMD Radeon RX 6600,14.0,2560x1440,6.0,2.68,FreeDOS,4841.47
Microsoft,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,6.2,2.79,Windows,4856.96
Samsung,AMD Ryzen 9,64,1TB SSD,Nvidia RTX 2060,14.0,1366x768,8.9,2.76,macOS,3322.3
HP,AMD Ryzen 3,4,256GB SSD,Integrated,17.3,3840x2160,11.7,2.18,Windows,844.17
MSI,AMD Ryzen 3,64,256GB SSD,Nvidia RTX 3080,15.6,3840x2160,4.2,3.49,FreeDOS,4651.94
Samsung,AMD Ryzen 3,64,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,8.6,3.08,Windows,3543.53
Microsoft,AMD Ryzen 7,16,2TB SSD,Integrated,16.0,2560x1440,11.3,2.64,FreeDOS,1251.15
Asus,AMD Ryzen 7,32,512GB SSD,Nvidia RTX 3080,14.0,1366x768,12.0,2.9,Linux,1671.77
Microsoft,Intel i5,32,512GB SSD,AMD Radeon RX 6600,13.3,1920x1080,8.1,1.27,FreeDOS,1618.07
Asus,Intel i9,16,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,6.8,2.19,macOS,1629.89
Microsoft,AMD Ryzen 9,64,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,5.8,2.59,Linux,7174.89
Microsoft,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 3080,13.3,1366x768,7.4,3.17,Linux,1227.22
Samsung,Intel i9,64,256GB SSD,AMD Radeon RX 6800,13.3,1920x1080,10.6,1.54,macOS,3795.01
HP,Intel i7,8,2TB SSD,Nvidia GTX 1650,15.6,3840x2160,11.8,2.66,Linux,2389.37
Asus,Intel i7,32,512GB SSD,Nvidia GTX 1650,16.0,2560x1440,9.3,1.66,Windows,2649.46
Apple,AMD Ryzen 9,16,2TB SSD,Nvidia GTX 1650,15.6,1366x768,5.0,1.34,Windows,2797.38
MSI,Intel i9,8,2TB SSD,Integrated,14.0,3840x2160,9.4,3.19,macOS,2435.32
Lenovo,Intel i7,64,256GB SSD,Integrated,16.0,3840x2160,11.5,2.81,macOS,3608.15
Lenovo,AMD Ryzen 3,8,512GB SSD,AMD Radeon RX 6800,17.3,2560x1440,10.9,1.67,macOS,1197.24
